Country or Area,Year,USDinMillions
Albania,2010,4.387296556
Albania,2009,8.265061485
Albania,2007,2.289116679
Albania,2006,1.618700647
Albania,2005,1.068386183
Albania,2004,1.724069972
Bolivia,1999,7.742057581
Bolivia,1998,7.440836277
Bolivia,1997,4.948367277
Bolivia,1996,3.350009483
Bolivia,1995,3.958051597
Brazil,2012,1385.172452
Brazil,2011,1253.448684
Brazil,2010,1372.038088
Brazil,2009,1164.997365
Brazil,2008,822.2276086
Brazil,2007,541.6776061
Brazil,2006,419.0238022
Brazil,2005,339.5231391
Brazil,2004,208.8612778
Brazil,2003,189.9406948
Brazil,2002,183.5490774
Brazil,2001,178.6484796
Brazil,2000,232.3896799
Bulgaria,2012,54.53171627
Bulgaria,2011,52.61442583
Bulgaria,2010,47.38080062
Bulgaria,2009,53.31658798
Bulgaria,2008,56.09084224
Bulgaria,2007,44.08523145
Bulgaria,2006,33.34901022
Bulgaria,2005,28.58715907
Bulgaria,2004,25.39506924
Bulgaria,2003,21.35393571
Bulgaria,2002,14.92555279
Bulgaria,2001,13.73181012
Bulgaria,2000,14.60008713
Bulgaria,1999,15.35627093
Bulgaria,1998,14.76972018
Canada,2012,689.2574676
Canada,2011,703.3637382
Canada,2010,791.1371033
Canada,2009,716.4724007
Canada,2008,705.6905083
Canada,2007,675.9152437
Canada,2006,590.6396833
Canada,2005,533.9326436
Canada,2004,455.0278852
Canada,2002,455.4206657
Canada,2001,400.9657183
Canada,1999,435.6775954
Canada,1998,394.414938
Canada,1997,365.0107731
Canada,1996,415.4111879
Canada,1995,402.4217195
Chile,2011,262.1694224
Chile,2010,247.508465
Chile,2009,198.531965
Chile,2008,228.963038
Chile,2007,189.4487456
Chile,2006,180.0797515
Chile,2005,155.6074619
Cyprus,2011,20.43218632
Cyprus,2010,21.26363465
Cyprus,2009,19.50146488
Cyprus,2008,21.90062083
Cyprus,2007,19.18451159
Cyprus,2006,16.61524306
Cyprus,2005,15.95878188
Cyprus,2004,17.15747018
Cyprus,2003,15.25384633
Cyprus,2002,12.27688096
Cyprus,2001,12.15660797
Cyprus,2000,10.71642401
Czech Republic,2012,55.11730474
Czech Republic,2011,59.77746122
Czech Republic,2010,48.27667456
Czech Republic,2009,53.45433562
Czech Republic,2008,44.92824368
Czech Republic,2007,37.10517239
Czech Republic,2006,47.57566929
Czech Republic,2005,34.97872962
Czech Republic,2004,33.19098435
Czech Republic,2003,54.37980786
Czech Republic,2002,35.248999
Czech Republic,2001,25.94955909
Denmark,2012,62.06327287
Denmark,2011,77.43012494
Denmark,2010,52.8620262
Denmark,2009,57.39743574
Denmark,2008,103.5477545
Denmark,2007,108.1393005
Denmark,2006,69.80905908
Denmark,2005,74.3703007
Denmark,2004,70.78000152
Denmark,2003,66.13989158
Denmark,2002,48.02618461
Denmark,2001,43.61443706
Denmark,2000,76.93998612
Denmark,1999,95.5709666
Denmark,1998,119.0585938
Denmark,1997,200.8447575
Denmark,1996,211.1852628
Denmark,1995,218.573341
Ecuador,2008,64.974
Egypt,2011,7.75347003
Egypt,2009,79.39954321
Egypt,2008,61.86895811
Egypt,2006,14.48466525
Egypt,2005,62.90023938
Egypt,2004,44.74228329
Egypt,2003,45.03463157
Egypt,2002,41.36617527
Egypt,2001,86.77271583
Egypt,2000,137.2062614
Egypt,1999,52.58169502
El Salvador,1998,11.3912
El Salvador,1997,13.12057143
El Salvador,1996,17.85542857
Estonia,2012,29.55182943
Estonia,2011,33.36321076
Estonia,2010,28.54275699
Estonia,2009,28.15917799
Estonia,2008,32.35325084
Estonia,2007,29.04567691
Estonia,2006,25.86582328
Estonia,2005,22.92632651
Estonia,2004,23.46080014
Finland,2012,129.7710771
Finland,2011,144.5739133
Finland,2010,150.984388
Finland,2009,159.7569783
Finland,2008,181.6384846
Finland,2007,93.06940856
Finland,2006,90.32280996
Finland,2005,87.05168383
Finland,2004,88.15878515
Finland,2003,92.54722119
Finland,2002,79.99610999
Finland,2001,74.27226602
Finland,2000,83.83999459
Finland,1999,95.88470559
Finland,1998,96.79493594
Finland,1997,115.6749011
France,2005,1545.789186
France,2004,1203.181166
France,2003,1170.383761
France,2002,994.775156
France,2001,857.2630223
France,2000,797.8619266
Georgia,2012,31.73337474
Georgia,2011,21.87969175
Georgia,2010,14.81197488
Georgia,2009,12.15214415
Georgia,2008,11.80580788
Georgia,2007,10.05691937
Georgia,2006,7.189261041
Germany,2012,840.2864316
Germany,2011,1510.567428
Germany,2010,1490.811456
Germany,2009,1574.059421
Germany,2008,1603.142062
Germany,2007,1553.652427
Germany,2006,1254.208294
Germany,2005,1189.145177
Germany,2004,1126.07303
Germany,2003,1236.330097
Germany,2002,933.2529919
Germany,2001,822.6393107
Germany,2000,883.9358608
Germany,1999,985.7011679
Germany,1998,994.0006095
Germany,1997,985.9970412
Germany,1996,1455.723082
Germany,1995,1670.975348
Greece,2004,202.9296667
Greece,2003,182.3907995
Greece,2002,154.3036401
Greece,2001,126.557436
Greece,2000,144.1795498
Greece,1999,185.2335319
Greece,1998,194.2211411
Greece,1997,182.0749683
Greece,1996,185.1718432
Greece,1995,190.3974752
Hungary,2012,18.68912498
Hungary,2011,19.68118248
Hungary,2010,16.7256435
Hungary,2009,22.03204151
Hungary,2008,28.51609405
Hungary,2007,37.07539335
Hungary,2006,94.53396074
Hungary,2005,83.40410607
Hungary,2004,83.25695144
Hungary,2003,79.97087321
Hungary,2002,61.6084585
Iceland,2012,12.07520268
Iceland,2011,12.07719881
Iceland,2010,12.06297572
Iceland,2009,11.88870303
Iceland,2008,13.80807053
Iceland,2007,18.8570314
Iceland,2005,14.7487364
Iceland,2004,12.48581266
India,2005,9.986361602
India,2004,3.444013677
India,2003,3.040851059
Iraq,2012,0.658069263
